序号,专项,报警编号,报警等级,现场工作人员核实-是否误报,综合研判-误报,研判备注,现场核实内容,报警状态,监测指标,设备标识码,设备名称,设施名称,报警生成时间,初次报警时间,初次报警值,报警阈值,当前报警值,报警核实时间,操作人员,报警处置时间,处置内容,操作人员.1,消警时间,消警内容,回复附件,初次报警时间.1,报警前10次推送值,推送时间10,报警前9次推送值,推送时间9,报警前8次推送值,推送时间8,报警前7次推送值,推送时间7,报警前6次推送值,推送时间6,报警前5次推送值,推送时间5,报警前4次推送值,推送时间4,报警前3次推送值,推送时间3,报警前2次推送值,推送时间2,报警前1次推送值,推送时间1,报警后1次推送值,推送时间2-1,报警后2次推送值,推送时间2-2,报警后3次推送值,推送时间2-3,报警后4次推送值,推送时间2-4,报警后5次推送值,推送时间2-5,报警后6次推送值,推送时间2-6,报警后7次推送值,推送时间2-7,报警后8次推送值,推送时间2-8,报警后9次推送值,推送时间2-9,报警后10次推送值,推送时间2-10
99,燃气爆炸,RQ011982393707084779521,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-003,管网哨兵,检测点1,2025-10-26 18:28:00,2025-10-26 18:27:44,0.0,-1.0,0.0,2025-10-26 18:32:21,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761450359370_1761474740515.jpg,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 18:27:44,0.0,2025-10-26 18:27:44,0.0,2025-10-26 18:27:44,0.0,2025-10-26 18:27:44,0.0,2025-10-26 18:27:44,0.0,2025-10-26 18:27:44,0.0,2025-10-26 18:27:44,0.0,2025-10-26 18:27:44,0.0,2025-10-26 18:27:44,0.0,2025-10-26 18:27:44,
100,燃气爆炸,RQ011982384316298256386,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-006,管网哨兵,检测点1,2025-10-26 17:51:00,2025-10-26 17:50:26,0.0,-1.0,0.0,2025-10-26 17:51:51,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/82a552369ed0d17de6436db2e2d95024_1761472311172.jpeg,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 17:50:26,0.0,2025-10-26 17:50:26,0.0,2025-10-26 17:50:26,0.0,2025-10-26 17:50:26,0.0,2025-10-26 17:50:26,0.0,2025-10-26 17:50:26,0.0,2025-10-26 17:50:26,0.0,2025-10-26 17:50:26,0.0,2025-10-26 17:50:26,0.0,2025-10-26 17:50:26,
101,燃气爆炸,RQ011982370347739209729,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-004,管网哨兵,检测点1,2025-10-26 16:55:00,2025-10-26 16:54:55,0.0,-1.0,0.0,2025-10-26 16:56:10,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761468926790_1761468969833.jpg,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 16:54:55,0.0,2025-10-26 16:54:55,0.0,2025-10-26 16:54:55,0.0,2025-10-26 16:54:55,0.0,2025-10-26 16:54:55,0.0,2025-10-26 16:54:55,0.0,2025-10-26 16:54:55,0.0,2025-10-26 16:54:55,0.0,2025-10-26 16:54:55,0.0,2025-10-26 16:54:55,
102,燃气爆炸,RQ011982352387578400769,3,是,误报,多次/连续报警，暂维持现场判断,误报,消警,RQ0101,GWSBSZSC-001,管网哨兵,检测点1,2025-10-26 15:44:00,2025-10-26 15:43:33,0.0,-1.0,0.0,2025-10-26 15:44:32,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761457664827_1761464671727.jpg,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 15:43:33,0.0,2025-10-26 15:43:33,0.0,2025-10-26 15:43:33,0.0,2025-10-26 15:43:33,0.0,2025-10-26 15:43:33,0.0,2025-10-26 15:43:33,0.0,2025-10-26 15:43:33,0.0,2025-10-26 15:43:33,0.0,2025-10-26 15:43:33,0.0,2025-10-26 15:43:33,
103,燃气爆炸,RQ011982323020286529538,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-005,管网哨兵,检测点1,2025-10-26 13:47:00,2025-10-26 13:46:49,0.0,-1.0,0.0,2025-10-26 13:48:11,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/f31c8bbd0ceba9dc7cdf832fead005f1_1761457690522.jpeg,0.0,2025-10-26 07:35:17,0.0,2025-10-26 07:35:17,0.0,2025-10-26 07:35:17,0.0,2025-10-26 07:35:17,0.0,2025-10-26 07:35:17,0.0,2025-10-26 07:35:17,0.0,2025-10-26 07:35:17,0.0,2025-10-26 07:35:17,0.0,2025-10-26 07:35:17,0.0,2025-10-26 07:35:17,0.0,2025-10-26 13:46:49,0.0,2025-10-26 13:46:49,0.0,2025-10-26 13:46:49,0.0,2025-10-26 13:46:49,0.0,2025-10-26 13:46:49,0.0,2025-10-26 13:46:49,0.0,2025-10-26 13:46:49,0.0,2025-10-26 13:46:49,0.0,2025-10-26 13:46:49,0.0,2025-10-26 13:46:49,
104,燃气爆炸,RQ011982308808512376833,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-002,管网哨兵,检测点1,2025-10-26 12:51:00,2025-10-26 12:50:23,0.0,-1.0,0.0,2025-10-26 12:51:42,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/f31c8bbd0ceba9dc7cdf832fead005f1_1761454301805.jpeg,0.0,2025-10-26 06:38:51,0.0,2025-10-26 06:38:51,0.0,2025-10-26 06:38:51,0.0,2025-10-26 06:38:51,0.0,2025-10-26 06:38:51,0.0,2025-10-26 06:38:51,0.0,2025-10-26 06:38:51,0.0,2025-10-26 06:38:51,0.0,2025-10-26 06:38:51,0.0,2025-10-26 06:38:51,0.0,2025-10-26 12:50:23,0.0,2025-10-26 12:50:23,0.0,2025-10-26 12:50:23,0.0,2025-10-26 12:50:23,0.0,2025-10-26 12:50:23,0.0,2025-10-26 12:50:23,0.0,2025-10-26 12:50:23,0.0,2025-10-26 12:50:23,0.0,2025-10-26 12:50:23,0.0,2025-10-26 12:50:23,
105,燃气爆炸,RQ011982300214190542850,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-003,管网哨兵,检测点1,2025-10-26 12:17:00,2025-10-26 12:16:12,0.0,-1.0,0.0,2025-10-26 12:17:40,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761210064991_1761452259291.jpg,0.0,2025-10-26 06:04:40,0.0,2025-10-26 06:04:40,0.0,2025-10-26 06:04:40,0.0,2025-10-26 06:04:40,0.0,2025-10-26 06:04:40,0.0,2025-10-26 06:04:40,0.0,2025-10-26 06:04:40,0.0,2025-10-26 06:04:40,0.0,2025-10-26 06:04:40,0.0,2025-10-26 06:04:40,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,0.0,2025-10-26 12:16:12,
106,燃气爆炸,RQ011982290584496377857,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-006,管网哨兵,检测点1,2025-10-26 11:38:00,2025-10-26 11:37:58,0.0,-1.0,0.0,2025-10-26 11:46:10,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761450359370_1761450369306.jpg,0.0,2025-10-26 05:25:34,0.0,2025-10-26 05:25:34,0.0,2025-10-26 05:25:34,0.0,2025-10-26 05:25:34,0.0,2025-10-26 05:25:34,0.0,2025-10-26 05:25:34,0.0,2025-10-26 05:25:34,0.0,2025-10-26 05:25:34,0.0,2025-10-26 05:25:34,0.0,2025-10-26 05:25:34,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,0.0,2025-10-26 11:37:58,
107,燃气爆炸,RQ011982276992199954434,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-004,管网哨兵,检测点1,2025-10-26 10:44:00,2025-10-26 10:43:57,0.0,-1.0,0.0,2025-10-26 10:44:45,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/f31c8bbd0ceba9dc7cdf832fead005f1_1761446685320.jpeg,0.0,2025-10-26 04:33:01,0.0,2025-10-26 04:33:01,0.0,2025-10-26 04:33:01,0.0,2025-10-26 04:33:01,0.0,2025-10-26 04:33:01,0.0,2025-10-26 04:33:01,0.0,2025-10-26 04:33:01,0.0,2025-10-26 04:33:01,0.0,2025-10-26 04:33:01,0.0,2025-10-26 04:33:01,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,0.0,2025-10-26 10:43:57,
108,燃气爆炸,RQ011982258746084167685,3,是,误报,多次/连续报警，暂维持现场判断,误报,消警,RQ0101,GWSBSZSC-001,管网哨兵,检测点1,2025-10-26 09:32:00,2025-10-26 09:31:25,0.0,-1.0,0.0,2025-10-26 09:33:20,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/f31c8bbd0ceba9dc7cdf832fead005f1_1761442399948.jpeg,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,0.0,2025-10-26 09:31:25,
109,燃气爆炸,RQ011982165088135680002,3,是,误报,多次/连续报警，暂维持现场判断,误报,消警,RQ0101,GWSBSZSC-001,管网哨兵,检测点1,2025-10-26 03:20:00,2025-10-26 03:19:17,0.0,-1.0,0.0,2025-10-26 03:21:03,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/1761214698859_100_1761420063253.PNG,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,0.0,2025-10-26 03:19:17,
110,燃气爆炸,RQ011982086170603118594,3,是,误报,多次/连续报警，暂维持现场判断,现场检测无漏气,消警,RQ0101,HD76_389_A1,瑧湾雅筑2AS4G,[NULL],2025-10-25 22:06:00,2025-10-25 22:05:41,19.76,10.0,19.76,2025-10-25 22:06:27,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761306604140_1761401186863.jpg,19.76,2025-10-25 21:05:42,19.76,2025-10-25 20:05:41,19.76,2025-10-25 19:05:41,19.76,2025-10-25 18:05:42,19.76,2025-10-25 17:05:41,19.76,2025-10-25 16:05:41,19.76,2025-10-25 15:05:40,19.76,2025-10-25 14:05:43,19.76,2025-10-25 13:05:41,19.76,2025-10-25 12:05:41,19.76,2025-10-25 23:05:41,19.76,2025-10-26 00:05:41,19.76,2025-10-26 01:05:41,19.76,2025-10-26 02:05:41,19.76,2025-10-26 03:05:42,19.76,2025-10-26 04:05:41,19.76,2025-10-26 05:05:41,19.76,2025-10-26 06:05:43,19.76,2025-10-26 07:05:42,19.76,2025-10-26 08:05:41,
111,燃气爆炸,RQ011982071469353603073,3,是,误报,多次/连续报警，暂维持现场判断,误报,消警,RQ0101,GWSBSZSC-001,管网哨兵,检测点1,2025-10-25 21:08:00,2025-10-25 21:07:17,0.0,-1.0,0.0,2025-10-25 21:09:33,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/f31c8bbd0ceba9dc7cdf832fead005f1_1761397772243.jpeg,0.0,2025-10-25 14:54:41,0.0,2025-10-25 14:54:41,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,0.0,2025-10-25 21:07:17,
112,燃气爆炸,RQ011982071075915390977,3,是,误报,多次/连续报警，暂维持现场判断,现场检测无漏气,消警,RQ0101,HD76_389_A1,瑧湾雅筑2AS4G,[NULL],2025-10-25 21:06:00,2025-10-25 21:05:42,19.76,10.0,19.76,2025-10-25 21:06:37,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761306604140_1761397595830.jpg,19.76,2025-10-25 20:05:41,19.76,2025-10-25 19:05:41,19.76,2025-10-25 18:05:42,19.76,2025-10-25 17:05:41,19.76,2025-10-25 16:05:41,19.76,2025-10-25 15:05:40,19.76,2025-10-25 14:05:43,19.76,2025-10-25 13:05:41,19.76,2025-10-25 12:05:41,19.76,2025-10-25 11:05:43,19.76,2025-10-25 22:05:41,19.76,2025-10-25 23:05:41,19.76,2025-10-26 00:05:41,19.76,2025-10-26 01:05:41,19.76,2025-10-26 02:05:41,19.76,2025-10-26 03:05:42,19.76,2025-10-26 04:05:41,19.76,2025-10-26 05:05:41,19.76,2025-10-26 06:05:43,19.76,2025-10-26 07:05:42,
113,燃气爆炸,RQ011982055973594030085,3,是,误报,多次/连续报警，暂维持现场判断,误报,消警,RQ0101,HD76_389_A1,瑧湾雅筑2AS4G,[NULL],2025-10-25 20:06:00,2025-10-25 20:05:41,19.76,10.0,19.76,2025-10-25 20:06:28,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761306604140_1761393987954.jpg,19.76,2025-10-25 19:05:41,19.76,2025-10-25 18:05:42,19.76,2025-10-25 17:05:41,19.76,2025-10-25 16:05:41,19.76,2025-10-25 15:05:40,19.76,2025-10-25 14:05:43,19.76,2025-10-25 13:05:41,19.76,2025-10-25 12:05:41,19.76,2025-10-25 11:05:43,19.76,2025-10-25 10:05:43,19.76,2025-10-25 21:05:42,19.76,2025-10-25 22:05:41,19.76,2025-10-25 23:05:41,19.76,2025-10-26 00:05:41,19.76,2025-10-26 01:05:41,19.76,2025-10-26 02:05:41,19.76,2025-10-26 03:05:42,19.76,2025-10-26 04:05:41,19.76,2025-10-26 05:05:41,19.76,2025-10-26 06:05:43,
114,燃气爆炸,RQ011982040873193660418,3,是,误报,多次/连续报警，暂维持现场判断,误报,消警,RQ0101,HD76_389_A1,瑧湾雅筑2AS4G,[NULL],2025-10-25 19:06:00,2025-10-25 19:05:41,19.76,10.0,19.76,2025-10-25 19:15:52,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761306604140_1761390949100.jpg,19.76,2025-10-25 18:05:42,19.76,2025-10-25 17:05:41,19.76,2025-10-25 16:05:41,19.76,2025-10-25 15:05:40,19.76,2025-10-25 14:05:43,19.76,2025-10-25 13:05:41,19.76,2025-10-25 12:05:41,19.76,2025-10-25 11:05:43,19.76,2025-10-25 10:05:43,19.76,2025-10-25 09:05:41,19.76,2025-10-25 20:05:41,19.76,2025-10-25 21:05:42,19.76,2025-10-25 22:05:41,19.76,2025-10-25 23:05:41,19.76,2025-10-26 00:05:41,19.76,2025-10-26 01:05:41,19.76,2025-10-26 02:05:41,19.76,2025-10-26 03:05:42,19.76,2025-10-26 04:05:41,19.76,2025-10-26 05:05:41,
115,燃气爆炸,RQ011982027290263031809,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-004,管网哨兵,检测点1,2025-10-25 18:13:00,2025-10-25 18:12:11,0.35,0.0,0.39,2025-10-25 18:13:30,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/9dca2f4476c4dadeda746d7834693e31_1761387210159.jpeg,0.36,2025-10-25 17:09:19,0.35,2025-10-25 17:09:19,0.37,2025-10-25 17:09:19,0.36,2025-10-25 17:09:19,0.36,2025-10-25 17:09:19,0.37,2025-10-25 17:09:19,0.39,2025-10-25 17:09:19,0.37,2025-10-25 17:09:19,0.35,2025-10-25 17:09:19,0.35,2025-10-25 17:09:19,0.37,2025-10-25 18:12:11,0.39,2025-10-25 18:12:11,0.36,2025-10-25 18:12:11,0.37,2025-10-25 18:12:11,0.35,2025-10-25 18:12:11,0.36,2025-10-25 18:12:11,0.35,2025-10-25 18:12:11,0.35,2025-10-25 18:12:11,0.37,2025-10-25 18:12:11,0.0,2025-10-25 22:22:02,
116,燃气爆炸,RQ011982026923362181122,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-006,管网哨兵,检测点1,2025-10-25 18:11:00,2025-10-25 18:09:52,0.36,0.0,0.35,2025-10-25 18:11:47,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/9dca2f4476c4dadeda746d7834693e31_1761387106418.jpeg,0.0,2025-10-25 16:58:50,0.0,2025-10-25 16:58:50,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0.37,2025-10-25 18:09:52,0.35,2025-10-25 18:09:52,0.36,2025-10-25 18:09:52,0.35,2025-10-25 18:09:52,0.36,2025-10-25 18:09:52,0.35,2025-10-25 18:09:52,0.36,2025-10-25 18:09:52,0.37,2025-10-25 18:09:52,0.39,2025-10-25 18:09:52,0.0,2025-10-25 23:12:08,
117,燃气爆炸,RQ011982025777629323266,3,是,误报,多次/连续报警，暂维持现场判断,现场检测无漏气,消警,RQ0101,HD76_389_A1,瑧湾雅筑2AS4G,[NULL],2025-10-25 18:06:00,2025-10-25 18:05:42,19.76,10.0,19.76,2025-10-25 18:07:08,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761306604140_1761386827699.jpg,19.76,2025-10-25 17:05:41,19.76,2025-10-25 16:05:41,19.76,2025-10-25 15:05:40,19.76,2025-10-25 14:05:43,19.76,2025-10-25 13:05:41,19.76,2025-10-25 12:05:41,19.76,2025-10-25 11:05:43,19.76,2025-10-25 10:05:43,19.76,2025-10-25 09:05:41,19.76,2025-10-25 08:05:43,19.76,2025-10-25 19:05:41,19.76,2025-10-25 20:05:41,19.76,2025-10-25 21:05:42,19.76,2025-10-25 22:05:41,19.76,2025-10-25 23:05:41,19.76,2025-10-26 00:05:41,19.76,2025-10-26 01:05:41,19.76,2025-10-26 02:05:41,19.76,2025-10-26 03:05:42,19.76,2025-10-26 04:05:41,
118,燃气爆炸,RQ011982024276332732417,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-004,管网哨兵,检测点1,2025-10-25 18:00:00,2025-10-25 17:09:19,0.35,0.0,0.36,2025-10-25 18:01:17,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/IMG_6243_1761386474698.jpeg,0.0,2025-10-25 16:11:13,0.0,2025-10-25 16:11:13,0.0,2025-10-25 10:00:27,0.0,2025-10-25 10:00:27,/,/,/,/,/,/,/,/,/,/,/,/,0.35,2025-10-25 17:09:19,0.35,2025-10-25 17:09:19,0.37,2025-10-25 17:09:19,0.39,2025-10-25 17:09:19,0.37,2025-10-25 17:09:19,0.36,2025-10-25 17:09:19,0.36,2025-10-25 17:09:19,0.37,2025-10-25 17:09:19,0.35,2025-10-25 17:09:19,0.36,2025-10-25 17:09:19,
119,燃气爆炸,RQ011982011656565297153,3,是,误报,,误报,消警,RQ0101,GWSBSZSC-004,管网哨兵,检测点1,2025-10-25 17:10:00,2025-10-25 17:09:19,0.35,0.0,0.35,2025-10-25 17:20:10,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/1761214698859_100_1761384007405.PNG,0.0,2025-10-25 16:11:13,0.0,2025-10-25 16:11:13,0.0,2025-10-25 10:00:27,0.0,2025-10-25 10:00:27,/,/,/,/,/,/,/,/,/,/,/,/,0.35,2025-10-25 17:09:19,0.35,2025-10-25 17:09:19,0.37,2025-10-25 17:09:19,0.39,2025-10-25 17:09:19,0.37,2025-10-25 17:09:19,0.36,2025-10-25 17:09:19,0.36,2025-10-25 17:09:19,0.37,2025-10-25 17:09:19,0.35,2025-10-25 17:09:19,0.36,2025-10-25 17:09:19,
120,燃气爆炸,RQ011982010674171305985,3,是,误报,多次/连续报警，暂维持现场判断,误报,消警,RQ0101,HD76_389_A1,瑧湾雅筑2AS4G,[NULL],2025-10-25 17:06:00,2025-10-25 17:05:41,19.76,10.0,19.76,2025-10-25 17:22:06,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/f31c8bbd0ceba9dc7cdf832fead005f1_1761384124815.jpeg,19.76,2025-10-25 16:05:41,19.76,2025-10-25 15:05:40,19.76,2025-10-25 14:05:43,19.76,2025-10-25 13:05:41,19.76,2025-10-25 12:05:41,19.76,2025-10-25 11:05:43,19.76,2025-10-25 10:05:43,19.76,2025-10-25 09:05:41,19.76,2025-10-25 08:05:43,19.76,2025-10-25 07:05:40,19.76,2025-10-25 18:05:42,19.76,2025-10-25 19:05:41,19.76,2025-10-25 20:05:41,19.76,2025-10-25 21:05:42,19.76,2025-10-25 22:05:41,19.76,2025-10-25 23:05:41,19.76,2025-10-26 00:05:41,19.76,2025-10-26 01:05:41,19.76,2025-10-26 02:05:41,19.76,2025-10-26 03:05:42,
121,燃气爆炸,RQ011981995571598200833,3,是,误报,多次/连续报警，暂维持现场判断,现场检测正常,消警,RQ0101,HD76_389_A1,瑧湾雅筑2AS4G,[NULL],2025-10-25 16:06:00,2025-10-25 16:05:41,19.76,10.0,19.76,2025-10-25 16:09:52,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761306604140_1761379787760.jpg,19.76,2025-10-25 15:05:40,19.76,2025-10-25 14:05:43,19.76,2025-10-25 13:05:41,19.76,2025-10-25 12:05:41,19.76,2025-10-25 11:05:43,19.76,2025-10-25 10:05:43,19.76,2025-10-25 09:05:41,19.76,2025-10-25 08:05:43,19.76,2025-10-25 07:05:40,19.76,2025-10-25 06:05:41,19.76,2025-10-25 17:05:41,19.76,2025-10-25 18:05:42,19.76,2025-10-25 19:05:41,19.76,2025-10-25 20:05:41,19.76,2025-10-25 21:05:42,19.76,2025-10-25 22:05:41,19.76,2025-10-25 23:05:41,19.76,2025-10-26 00:05:41,19.76,2025-10-26 01:05:41,19.76,2025-10-26 02:05:41,
122,燃气爆炸,RQ011981980472523231237,3,是,误报,多次/连续报警，暂维持现场判断,现场检测正常,消警,RQ0101,HD76_389_A1,瑧湾雅筑2AS4G,[NULL],2025-10-25 15:06:00,2025-10-25 15:05:40,19.76,10.0,19.76,2025-10-25 15:06:45,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761306604140_1761376002489.jpg,19.76,2025-10-25 14:05:43,19.76,2025-10-25 13:05:41,19.76,2025-10-25 12:05:41,19.76,2025-10-25 11:05:43,19.76,2025-10-25 10:05:43,19.76,2025-10-25 09:05:41,19.76,2025-10-25 08:05:43,19.76,2025-10-25 07:05:40,19.76,2025-10-25 06:05:41,19.76,2025-10-25 05:05:41,19.76,2025-10-25 16:05:41,19.76,2025-10-25 17:05:41,19.76,2025-10-25 18:05:42,19.76,2025-10-25 19:05:41,19.76,2025-10-25 20:05:41,19.76,2025-10-25 21:05:42,19.76,2025-10-25 22:05:41,19.76,2025-10-25 23:05:41,19.76,2025-10-26 00:05:41,19.76,2025-10-26 01:05:41,
123,燃气爆炸,RQ011981965383720198152,3,是,误报,多次/连续报警，暂维持现场判断,现在检测正常,消警,RQ0101,HD76_389_A1,瑧湾雅筑2AS4G,[NULL],2025-10-25 14:06:00,2025-10-25 14:05:43,19.76,10.0,19.76,2025-10-25 14:06:39,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761306604140_1761372398944.jpg,19.76,2025-10-25 13:05:41,19.76,2025-10-25 12:05:41,19.76,2025-10-25 11:05:43,19.76,2025-10-25 10:05:43,19.76,2025-10-25 09:05:41,19.76,2025-10-25 08:05:43,19.76,2025-10-25 07:05:40,19.76,2025-10-25 06:05:41,19.76,2025-10-25 05:05:41,19.76,2025-10-25 04:05:42,19.76,2025-10-25 15:05:40,19.76,2025-10-25 16:05:41,19.76,2025-10-25 17:05:41,19.76,2025-10-25 18:05:42,19.76,2025-10-25 19:05:41,19.76,2025-10-25 20:05:41,19.76,2025-10-25 21:05:42,19.76,2025-10-25 22:05:41,19.76,2025-10-25 23:05:41,19.76,2025-10-26 00:05:41,
